Study,Experiment,Family,Genus,Species,Latitude,Longitude,Stressor,Lifestage,Response_category,Sign_change,Response_variable,Units,Duration_days,Timepoint,Sample_size.t,Sample_size.c,ECOREGION,PROVINCE,REALM,yi,vi,deltapH_z,deltapCO2_z,deltaT_z,Duration_days_z
Nunes et al. 2016,1,Arthrothamnaceae,Saccharina,Saccharina latissima,50.356183,-4.127883,OA,Adult sporophyte,Net primary productivity,+,Net photosynthesis,umol/l/g/min,28,F,5,13,Celtic Seas,Northern European Seas,Temperate Northern Atlantic,-0.694904791,0.290336762,-0.456467174,-0.076437957,NA,0.96213746
Nunes et al. 2016,1,Arthrothamnaceae,Saccharina,Saccharina latissima,50.356183,-4.127883,OA,Adult sporophyte,Growth,+,Perforation area,cm2,28,F,17,16,Celtic Seas,Northern European Seas,Temperate Northern Atlantic,-0.18917871,0.121865781,-0.456467174,-0.076437957,NA,0.96213746
Nunes et al. 2016,1,Arthrothamnaceae,Saccharina,Saccharina latissima,50.356183,-4.127883,OA,Adult sporophyte,Growth,+,Elongation rate,cm,28,F,9,9,Celtic Seas,Northern European Seas,Temperate Northern Atlantic,-0.09450379,0.222470305,-0.456467174,-0.076437957,NA,0.96213746
Gerard & DuBois 1988,1,Arthrothamnaceae,Saccharina,Saccharina latissima,40.966667,-73.158333,T,Young sporophyte,Growth,+,Weight change,%/day,21,F,18.5,18.5,Virginian,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.83644316,0.117562664,NA,NA,-0.089059711,0.527656704
Gerard & DuBois 1988,1,Arthrothamnaceae,Saccharina,Saccharina latissima,40.966667,-73.158333,T,Young sporophyte,Growth,+,Weight change,%/day,21,F,18.5,18.5,Virginian,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,1.41097253,0.135011398,NA,NA,0.669239908,0.527656704
Gerard & DuBois 1988,1,Arthrothamnaceae,Saccharina,Saccharina latissima,40.966667,-73.158333,T,Young sporophyte,Growth,+,Weight change,%/day,21,F,18.5,18.5,Virginian,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,3.508793944,0.274481553,NA,NA,1.174772988,0.527656704
Gerard & DuBois 1988,1,Arthrothamnaceae,Saccharina,Saccharina latissima,43.166667,-70.608333,T,Young sporophyte,Growth,+,Weight change,%/day,21,F,18.5,18.5,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.195186944,0.108622945,NA,NA,-0.089059711,0.527656704
Gerard & DuBois 1988,1,Arthrothamnaceae,Saccharina,Saccharina latissima,43.166667,-70.608333,T,Young sporophyte,Growth,+,Weight change,%/day,21,F,18.5,18.5,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.995794795,0.121508206,NA,NA,0.669239908,0.527656704
Gerard & DuBois 1988,1,Arthrothamnaceae,Saccharina,Saccharina latissima,40.966667,-73.158333,T,Young sporophyte,Fluorescence,+,Alpha,nmol/uE,21,F,6.5,6.5,Virginian,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,-1.752151195,0.425770531,NA,NA,-0.089059711,0.527656704
Gerard & DuBois 1988,1,Arthrothamnaceae,Saccharina,Saccharina latissima,40.966667,-73.158333,T,Young sporophyte,Fluorescence,+,Alpha,nmol/uE,21,F,6.5,6.5,Virginian,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,-2.362369337,0.522338034,NA,NA,0.669239908,0.527656704
Gerard & DuBois 1988,1,Arthrothamnaceae,Saccharina,Saccharina latissima,40.966667,-73.158333,T,Young sporophyte,Fluorescence,+,Alpha,nmol/uE,21,F,6.5,6.5,Virginian,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,-3.324151183,0.73269158,NA,NA,1.174772988,0.527656704
Gerard & DuBois 1988,1,Arthrothamnaceae,Saccharina,Saccharina latissima,43.166667,-70.608333,T,Young sporophyte,Fluorescence,+,Alpha,nmol/uE,21,F,6.5,6.5,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,-1.704909047,0.419489033,NA,NA,-0.089059711,0.527656704
Gerard & DuBois 1988,1,Arthrothamnaceae,Saccharina,Saccharina latissima,43.166667,-70.608333,T,Young sporophyte,Fluorescence,+,Alpha,nmol/uE,21,F,6.5,6.5,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,-1.740153128,0.424158958,NA,NA,0.669239908,0.527656704
Gerard & DuBois 1988,1,Arthrothamnaceae,Saccharina,Saccharina latissima,40.966667,-73.158333,T,Young sporophyte,Net primary productivity,+,GPmax,umol/cm/h,21,F,6.5,6.5,Virginian,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,-1.248658198,0.367659511,NA,NA,-0.089059711,0.527656704
Gerard & DuBois 1988,1,Arthrothamnaceae,Saccharina,Saccharina latissima,40.966667,-73.158333,T,Young sporophyte,Net primary productivity,+,GPmax,umol/cm/h,21,F,6.5,6.5,Virginian,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,-2.467877187,0.541939147,NA,NA,0.669239908,0.527656704
Gerard & DuBois 1988,1,Arthrothamnaceae,Saccharina,Saccharina latissima,40.966667,-73.158333,T,Young sporophyte,Net primary productivity,+,GPmax,umol/cm/h,21,F,6.5,6.5,Virginian,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,-3.455997778,0.767073871,NA,NA,1.174772988,0.527656704
Gerard & DuBois 1988,1,Arthrothamnaceae,Saccharina,Saccharina latissima,43.166667,-70.608333,T,Young sporophyte,Net primary productivity,+,GPmax,umol/cm/h,21,F,6.5,6.5,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,-0.913475489,0.339786057,NA,NA,-0.089059711,0.527656704
Gerard & DuBois 1988,1,Arthrothamnaceae,Saccharina,Saccharina latissima,43.166667,-70.608333,T,Young sporophyte,Net primary productivity,+,GPmax,umol/cm/h,21,F,6.5,6.5,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,-1.421595245,0.385420502,NA,NA,0.669239908,0.527656704
Gerard & DuBois 1988,1,Arthrothamnaceae,Saccharina,Saccharina latissima,40.966667,-73.158333,T,Young sporophyte,Pigments,+,Chlorophyll a,ug/cm,21,F,8,4,Virginian,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,-2.071838637,0.553854806,NA,NA,0.669239908,0.527656704
Gerard & DuBois 1988,1,Arthrothamnaceae,Saccharina,Saccharina latissima,40.966667,-73.158333,T,Young sporophyte,Pigments,+,Chlorophyll a,ug/cm,21,F,4,4,Virginian,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,-3.357236195,1.204439679,NA,NA,1.174772988,0.527656704
Gerard & DuBois 1988,1,Arthrothamnaceae,Saccharina,Saccharina latissima,43.166667,-70.608333,T,Young sporophyte,Pigments,+,Chlorophyll a,ug/cm,21,F,7,5,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,-0.98159089,0.383003838,NA,NA,0.669239908,0.527656704
Luning 1980,1,Laminariaceae,Laminaria,Laminaria hyperborea,54.179353,7.877158,T,Gametophyte,Growth,+,Diameter,um,7,F,20,20,North Sea,Northern European Seas,Temperate Northern Atlantic,-0.132650109,0.100219951,NA,NA,-0.594592791,-0.341304808
Luning 1980,1,Laminariaceae,Laminaria,Laminaria hyperborea,54.179353,7.877158,T,Gametophyte,Growth,+,Diameter,um,7,F,20,20,North Sea,Northern European Seas,Temperate Northern Atlantic,1.994556233,0.149728182,NA,NA,0.163706829,-0.341304808
Luning 1980,1,Laminariaceae,Laminaria,Laminaria hyperborea,54.179353,7.877158,T,Gametophyte,Growth,+,Diameter,um,7,F,20,20,North Sea,Northern European Seas,Temperate Northern Atlantic,2.798713372,0.197909957,NA,NA,0.416473369,-0.341304808
Luning 1980,1,Laminariaceae,Laminaria,Laminaria hyperborea,54.179353,7.877158,T,Gametophyte,Growth,+,Diameter,um,7,F,20,20,North Sea,Northern European Seas,Temperate Northern Atlantic,5.379960898,0.461799741,NA,NA,0.669239908,-0.341304808
Luning 1980,1,Laminariaceae,Laminaria,Laminaria digitata,54.179353,7.877158,T,Gametophyte,Growth,+,Diameter,um,7,F,20,20,North Sea,Northern European Seas,Temperate Northern Atlantic,-2.862805338,0.20244568,NA,NA,-0.594592791,-0.341304808
Luning 1980,1,Laminariaceae,Laminaria,Laminaria digitata,54.179353,7.877158,T,Gametophyte,Growth,+,Diameter,um,7,F,20,20,North Sea,Northern European Seas,Temperate Northern Atlantic,-2.05591482,0.152834822,NA,NA,0.163706829,-0.341304808
Luning 1980,1,Laminariaceae,Laminaria,Laminaria digitata,54.179353,7.877158,T,Gametophyte,Growth,+,Diameter,um,7,F,20,20,North Sea,Northern European Seas,Temperate Northern Atlantic,3.176272152,0.22610881,NA,NA,0.416473369,-0.341304808
Luning 1980,1,Laminariaceae,Laminaria,Laminaria digitata,54.179353,7.877158,T,Gametophyte,Growth,+,Diameter,um,7,F,20,20,North Sea,Northern European Seas,Temperate Northern Atlantic,6.484692357,0.625640437,NA,NA,0.669239908,-0.341304808
